id, score
7171737d49b143d1b38883a39e4a5730,610.1881681
3af0a449d5424488912e8fb2bf4b9faa,530.536563
eb2cf02e0d5c4d1294dd73e776dbb441,665.6966466
9c0f780ecb254670a11aa9e3f10777c5,673.92663
d794eed46c1e44f785a575f18b3023a5,652.7471659
18f6a7d824a1421b9da3e5f10854c3df,603.0592541
e7b63888a36f499a88811c0936bb12df,637.1227029
f995ef4d96fc426191a104421b0f5b20,582.4082994
11a3ce45ce234f7db4e91e5f152dc8b8,672.0111772
86ebeac087284c87bbcb1281d95ef9eb,585.0575796
195ada20e0644bbaa9590b6f2970eaea,646.1946103
63d788ea10244942bf7130f63ae78a90,582.1627524
4207accd0d9d42d1a990c1b2f3f95c88,645.0395935
a3b53661c96c46f6844ac30ca90b76ff,547.4130413
a6446d00741343ee92036cd373217655,656.423503
8fb6014618ed48299a2a22648c26b953,636.9672225
f3932aec4f7d4b7a8e6b1d186e5a2faa,620.8210263
bd4a59e1eabd4b93b63021e6142ae363,645.0358603
560d3f89a6614916b6fa0894529cc0ce,650.801813
6225520b8576493d9297d9016dd3b784,592.6508497
f73e28d9908e4e28b32521907e3c9b24,544.4251092
d5aef6475c4a4a658449895f927e3668,650.3269642
6451cc8b7808485295c092f3f6ab96a3,598.1349402
4ca166b893d6439da100dbc57c18e5af,589.189641
7742bc4d80c9496bb61df6c638d22594,613.9745466
67b7865d70d745eb9d4f43aff3d85e64,650.3156349
f0960e3c59cb4f52ac87d79fc4ed3057,664.9545358
34f8907caeee48dabb52e28446ffcaf8,638.211364
13095bc658e741eaad99eff134940d2d,608.987124
90ebfc21c6f94c299999a5e0a1ad03de,574.6418525
303385252eaf4f2f85c2c6cb95ea218f,662.9682948
93a654d8091a40428e7840cf4cf70dc8,647.4643523
2a9953b7f68e4f48826f09cd84af138b,643.020636
913476f69a5c4d5bb264134db24eab77,651.6869387
e98037a7dcee452ca3e0f504370f0dfd,602.8995813
c55dad3891f7454fa3052100e87022c6,646.3560847
fe826ff47786453bb9a1a91c2193bac8,554.3794039
6ed2aa33142f4b469ae743956ff10351,622.9881626
a8969b8132b94ce8adedcab65ed4b0ae,637.845635
1780d8534c844b84b27064adfd795bf4,575.1518305
88a996c108b8435785ff14859566a029,631.4856512
fc9eae265e1d4cfda372313931660ee2,632.1294094
8fcc5931bb97412eb32cca5da79a742f,665.6733838
0a7d03c822df4c19a8da7244058402c0,628.7870471
7451510dd1e8494299fc8a42c345f8dc,599.7327855
527e1de68544436fb6648a4326452bba,601.2775408
a385a1fdf2774ddd9cb1109db74ffcf9,656.7734558
e82e16b7bdd74bad86b66383ccc2b092,636.215756
ab4fec828a354b198a5f33754af8cf5c,602.5811511
9f07122012a7486eb1cec22bda91fae0,605.6803511
389e5b9c03884b898890867000b57ddd,651.3031346
28ca9a98ac3b4c4e91e00778a5e8ed19,520.8900486
e61133453a774378a9e8a01162f3062c,610.8953764
408b7be6a8fa49359b7fa488f09e38b4,603.5584998
82cff20087a64d59bdc28dbda71d113d,627.3451729
32eae0657e374280995b56d79987b546,574.5513062
e5feff35697a4f3c8c57f2f203f155b9,612.8981584
018e8986c57a4f879bda468ab16a6273,645.8007742
16d50df840e949a89d853f8d2900adcd,616.1781171
00a2ffc4a86549609dc66e7ef7c624fa,635.8245452
bbd066daca8945b1845c04c24a2ba789,604.443135
a3de9c75ab5c42518ac641e1f8a6cdb4,649.8087807
dff7278c8e614db08838c71db9d8efb8,645.409386
470203b7f15340b4972e344d020044b2,644.8344806
b6ad7b96859846259206607333eefde7,549.2469395
87390c76d06e4e4e84b69b1028b43c32,623.1357563
2ff0f193260b4f1997fad232867b1cf1,627.0281237
00429bc9c9b44130afdf4f39ba072286,522.0033364
fb79dd440b824be1b94c9a5a22c14271,644.4039882
cfeca03e2b6f46a7be859ed9ec1bf612,616.2349302
ca69e7a2900b447a8b80881190bc8998,631.4420744
3cdaae87a0d3438aa0a361afa37193a2,637.0302112
e52e72e456d74829b487835bed4180dc,594.3380341
b89dd9daa22f487f8a1c5aeed6e7361b,630.436101
9bf0638021c04e629888f53c60d869ba,586.6412469
4859a219f61a4f2ab700eac18a9a3b3a,532.2098056
7fe4642addf94320a7486a0f255f22d0,630.1403664
a407ebb03eec4c849ee071fdf86e2c99,630.5634077
ad06d2acf7b24046a8c6028124940ae7,604.9478191
b1d1f8200cf747428bf70c92f282dd24,620.8602452
97436985e7e94290b560a3443f3bb9b7,567.4149814
88a73e385e174bf18d7aa1650488e215,642.5562419
35dc2690126e49658544116fa5f7726d,609.730844
c56606b10f0849259b84baed6c8cb2dd,630.1400302
1f3d3e1cbde24e41be55a80abe3897f8,594.3703515
6304e9fcbbd04a79a85ff208f8390235,649.4453141
c99998fe35474ea188b851b4ac258773,546.3778841
41e217b90682435fb29d2333bd6fa2d9,637.2082413
fee99f5580484fddb0d8131a8dde654f,640.9620385
c7133548b01c42b7896eac611b6aa620,643.3150424
07fb33a6f88440aeaa92b6b194f839e0,619.028808
c6bab06bb48347c0af7f840a32b0aa93,644.4285826
d6f444edd1f049a6b162d22c2281cbf6,656.0454304
4d0dbac4d2284aa983ed43d85eb6d270,599.8773798
b1a25080909645858492a9346ff3045f,589.7470735
b0e796e2e3da403f951b544a8d37db85,585.0929533
fcbcb8c2a68d4b3497dc0ae17d41489a,549.6252735
112d4b57e6074970a14696b50d4a79e1,640.9651756
494bfe1903454660a90575e759a75797,537.6413408
197e8e90f6ab4d0abef847c8b4df59e6,662.4552844
cfb69bba69204a558fc0d5bc8c044c38,565.7786147
9c11ef95334a4420879639dda250a37f,646.6263852
086956ef8caf45d690da71062aaa24e0,585.9586571
23bb16a284eb40b682c19fb6af8e9032,524.1574788
093b99c1e91b42e682ecf49c15b4a222,673.0256509
5a25107e4b554995ac05d1909e7f37df,641.2346473
20f84ced5c3e4b429f7b7f2120f63ed4,651.5758113
f1f5ffb6044d472fbf0d999e9ededb32,630.9537236
44b87a59f55d4504be2e6bff19a143bb,629.0294522
0f84fb843c614e83b0f9d447dd5a4a13,576.5129594
9e36e5620fca4250bb948d755bb3d281,618.8962607
fe7fd4be014247178d849a96b070c99b,645.2033539
9bf43ccd8da74b4ea89af0dd94a499ad,604.4297353
32a0302c22b84f489da4566158d95a2d,637.6927113
2b9f2f7c5ba546e4b1ea756a130dae03,635.6253528
52f10b435c7849068928d0f8f1665e81,638.0031308
ae947b1323354231879afdcf21d4f4b3,575.2146555
965ec85ed5c646d0b2d5b84213efef09,648.7500689
735f18af010a4bf887eb9de56fb9e5ba,657.2235594
ed471c09850647b186f6a01e2bd10413,662.6681486
98658c2787744a698b5dccdd6b84f41c,645.5191841
4236042904184497bb2cd20eb4ca198c,613.8033597
42cfa0e1b72348eaa495cfcad36c6a2a,602.0359728
f522667654d54849812875bbf3ade949,660.0647979
b8856767fd724685aae46e51adfc6613,552.6771938
bbf6f7a15126426a82695aa3401c5d5c,598.1837442
